address,name,size,is_thunk
0x20000220,gte_RotNclip3,1,False
0x20000224,gte_RotAverageNclip3,1,False
0x20000228,gte_RotColorDpq,1,False
0x2000022c,gte_RotColorDpq3,1,False
0x20000230,gte_RotAverageNclipColorDpq3,1,False
0x20000234,gte_RotAverageNclipColorCol3,1,False
0x20000238,gte_LoadAverage12,1,False
0x2000023c,gte_LoadAverage0,1,False
0x20000240,gte_LoadAverageShort12,1,False
0x20000244,gte_LoadAverageShort0,1,False
0x20000248,gte_LoadAverageByte,1,False
0x2000024c,gte_LoadAverageCol,1,False
0x20000250,gte_MulMatrix0,1,False
0x20000254,gte_ApplyMatrix,1,False
0x20000258,gte_ApplyMatrixSV,1,False
0x2000025c,gte_CompMatrix,1,False
0x20000260,gte_ApplyRotMatrix,1,False
0x80010030,FUN_80010030,60,False
0x8001006c,FUN_8001006c,160,False
0x8001010c,FUN_8001010c,96,False
0x8001016c,FUN_8001016c,200,False
0x80010234,FUN_80010234,40,False
0x8001025c,FUN_8001025c,208,False
0x8001032c,FUN_8001032c,184,False
0x800103e4,FUN_800103e4,132,False
0x80012be0,FUN_80012be0,40,False
0x80012c08,FUN_80012c08,472,False
0x80012de0,FUN_80012de0,308,False
0x80012f14,FUN_80012f14,392,False
0x8001309c,FUN_8001309c,192,False
0x8001315c,FUN_8001315c,536,False
0x80013374,FUN_80013374,380,False
0x800134f0,FUN_800134f0,348,False
0x8001364c,FUN_8001364c,396,False
0x800137d8,FUN_800137d8,244,False
0x800138cc,FUN_800138cc,36,False
0x800138f0,FUN_800138f0,268,False
0x800139fc,FUN_800139fc,168,False
0x80013aa4,FUN_80013aa4,124,False
0x80013b20,FUN_80013b20,256,False
0x80013c20,FUN_80013c20,256,False
0x80013d20,FUN_80013d20,144,False
0x80013db0,FUN_80013db0,244,False
0x80013ea4,FUN_80013ea4,176,False
0x80013f54,FUN_80013f54,3280,False
0x80014c24,FUN_80014c24,120,False
0x80014c9c,FUN_80014c9c,244,False
0x80014d90,FUN_80014d90,1108,False
0x800151e4,FUN_800151e4,156,False
0x80015280,FUN_80015280,356,False
0x800153e4,FUN_800153e4,312,False
0x8001551c,FUN_8001551c,868,False
0x80015880,FUN_80015880,168,False
0x80015928,FUN_80015928,48,False
0x80015958,FUN_80015958,20,False
0x8001596c,FUN_8001596c,168,False
0x80015a14,FUN_80015a14,116,False
0x80015a88,FUN_80015a88,236,False
0x80015b74,FUN_80015b74,984,False
0x80015f4c,FUN_80015f4c,304,False
0x8001607c,FUN_8001607c,196,False
0x80016140,FUN_80016140,80,False
0x80016190,FUN_80016190,208,False
0x80016260,FUN_80016260,116,False
0x800162d4,FUN_800162d4,648,False
0x8001655c,FUN_8001655c,344,False
0x800166b4,FUN_800166b4,208,False
0x80016784,FUN_80016784,68,False
0x800167c8,FUN_800167c8,24,False
0x800167e0,FUN_800167e0,72,False
0x80016828,FUN_80016828,184,False
0x800168e0,FUN_800168e0,304,False
0x80016a10,FUN_80016a10,64,False
0x80016a50,FUN_80016a50,348,False
0x80016bac,FUN_80016bac,80,False
0x80016bfc,FUN_80016bfc,316,False
0x80016d38,FUN_80016d38,20,False
0x80016d4c,FUN_80016d4c,24,False
0x80016d64,FUN_80016d64,72,False
0x80016dac,FUN_80016dac,128,False
0x80016e2c,FUN_80016e2c,180,False
0x80016ee0,FUN_80016ee0,48,False
0x80016f10,FUN_80016f10,176,False
0x80016fc0,FUN_80016fc0,176,False
0x80017070,FUN_80017070,228,False
0x80017154,FUN_80017154,640,False
0x800173d4,FUN_800173d4,136,False
0x8001745c,FUN_8001745c,612,False
0x800176c0,FUN_800176c0,200,False
0x80017788,FUN_80017788,584,False
0x800179d0,FUN_800179d0,80,False
0x80017a20,FUN_80017a20,72,False
0x80017a68,FUN_80017a68,112,False
0x80017ad8,FUN_80017ad8,1264,False
0x80017fc8,FUN_80017fc8,100,False
0x8001802c,FUN_8001802c,108,False
0x80018098,FUN_80018098,168,False
0x80018140,FUN_80018140,32,False
0x80018160,FUN_80018160,44,False
0x8001818c,FUN_8001818c,32,False
0x800181ac,FUN_800181ac,92,False
0x80018208,FUN_80018208,92,False
0x80018264,FUN_80018264,136,False
0x800182ec,FUN_800182ec,128,False
0x8001836c,FUN_8001836c,180,False
0x80018420,FUN_80018420,4,False
0x80018424,__builtin_delete,36,False
0x80018448,FUN_80018448,104,False
0x800184b0,FUN_800184b0,332,False
0x800185fc,FUN_800185fc,16,False
0x8001860c,FUN_8001860c,52,False
0x80018640,FUN_80018640,80,False
0x80018690,FUN_80018690,172,False
0x8001873c,FUN_8001873c,76,False
0x80018788,FUN_80018788,72,False
0x800187d0,FUN_800187d0,104,False
0x80018838,FUN_80018838,96,False
0x80018898,FUN_80018898,96,False
0x800188f8,FUN_800188f8,68,False
0x8001893c,FUN_8001893c,1104,False
0x80018d8c,FUN_80018d8c,32,False
0x80018dac,FUN_80018dac,324,False
0x80018ef0,FUN_80018ef0,1052,False
0x8001930c,FUN_8001930c,8,False
0x80019314,FUN_80019314,8,False
0x8001931c,FUN_8001931c,196,False
0x800193e0,FUN_800193e0,192,False
0x800194a0,FUN_800194a0,120,False
0x80019518,FUN_80019518,100,False
0x8001957c,FUN_8001957c,140,False
0x80019608,FUN_80019608,60,False
0x80019644,FUN_80019644,468,False
0x80019818,FUN_80019818,144,False
0x800198a8,FUN_800198a8,340,False
0x800199fc,FUN_800199fc,400,False
0x80019b8c,FUN_80019b8c,112,False
0x80019bfc,FUN_80019bfc,104,False
0x80019c64,FUN_80019c64,72,False
0x80019cac,FUN_80019cac,124,False
0x80019d28,FUN_80019d28,124,False
0x80019da4,FUN_80019da4,244,False
0x80019e98,FUN_80019e98,156,False
0x80019f34,FUN_80019f34,384,False
0x8001a0b4,FUN_8001a0b4,220,False
0x8001a190,FUN_8001a190,36,False
0x8001a1b4,FUN_8001a1b4,152,False
0x8001a24c,FUN_8001a24c,1200,False
0x8001a6fc,FUN_8001a6fc,120,False
0x8001a774,FUN_8001a774,272,False
0x8001a884,FUN_8001a884,48,False
0x8001a8b4,FUN_8001a8b4,48,False
0x8001a8e4,FUN_8001a8e4,12,False
0x8001a8f0,FUN_8001a8f0,80,False
0x8001a940,FUN_8001a940,12,False
0x8001a94c,FUN_8001a94c,72,False
0x8001a994,FUN_8001a994,192,False
0x8001aa54,FUN_8001aa54,260,False
0x8001ab58,FUN_8001ab58,104,False
0x8001abc0,FUN_8001abc0,12,False
0x8001abcc,FUN_8001abcc,368,False
0x8001ad3c,FUN_8001ad3c,120,False
0x8001adb4,FUN_8001adb4,8,False
0x8001adbc,FUN_8001adbc,28,False
